2018-05-06 10:39:57.367254: {'loss': 400.12552, 'avg': 2.2600000000000002, 'accuracy': 0.0, 'spare': 0.4, 'var': -1, 'steps': 3300}
2018-05-06 10:39:57.733915: {'loss': 11.207233, 'avg': 1.73, 'accuracy': 0.07, 'spare': 0.42999999999999994, 'var': -1, 'steps': 3400}
2018-05-06 10:39:58.089586: {'loss': 5.6589646, 'avg': 1.68, 'accuracy': 0.19, 'spare': 0.42999999999999994, 'var': -1, 'steps': 3500}
2018-05-06 10:39:58.454320: {'loss': 4.825806, 'avg': 1.6500000000000001, 'accuracy': 0.13, 'spare': 0.4, 'var': -1, 'steps': 3600}
2018-05-06 10:39:58.953883: {'loss': 4.6753225, 'avg': 1.71, 'accuracy': 0.13, 'spare': 0.42999999999999994, 'var': -1, 'steps': 3700}
2018-05-06 10:39:59.343371: {'loss': 4.6216936, 'avg': 1.6, 'accuracy': 0.15, 'spare': 0.42000000000000004, 'var': -1, 'steps': 3800}
2018-05-06 10:39:59.729013: {'loss': 4.5751886, 'avg': 1.6500000000000001, 'accuracy': 0.13, 'spare': 0.42000000000000004, 'var': -1, 'steps': 3900}
2018-05-06 10:40:00.116114: {'loss': 4.526505, 'avg': 1.6300000000000001, 'accuracy': 0.12, 'spare': 0.41000000000000003, 'var': -1, 'steps': 4000}
2018-05-06 10:40:00.501020: {'loss': 4.46263, 'avg': 1.6500000000000001, 'accuracy': 0.12, 'spare': 0.42000000000000004, 'var': -1, 'steps': 4100}
2018-05-06 10:40:00.880409: {'loss': 4.3887253, 'avg': 1.6600000000000001, 'accuracy': 0.12, 'spare': 0.42000000000000004, 'var': -1, 'steps': 4200}
2018-05-06 10:40:01.265767: {'loss': 4.3035, 'avg': 1.67, 'accuracy': 0.13, 'spare': 0.42999999999999994, 'var': -1, 'steps': 4300}
2018-05-06 10:40:01.647705: {'loss': 4.211508, 'avg': 1.6600000000000001, 'accuracy': 0.15, 'spare': 0.42000000000000004, 'var': -1, 'steps': 4400}
2018-05-06 10:40:02.033714: {'loss': 4.1040726, 'avg': 1.77, 'accuracy': 0.16, 'spare': 0.42999999999999994, 'var': -1, 'steps': 4500}
2018-05-06 10:40:02.557640: {'loss': 3.9765716, 'avg': 1.69, 'accuracy': 0.18, 'spare': 0.41000000000000003, 'var': -1, 'steps': 4600}
2018-05-06 10:40:03.014594: {'loss': 3.8418953, 'avg': 1.69, 'accuracy': 0.17, 'spare': 0.4, 'var': -1, 'steps': 4700}
2018-05-06 10:40:03.461883: {'loss': 3.7011313, 'avg': 1.67, 'accuracy': 0.19, 'spare': 0.39, 'var': -1, 'steps': 4800}
2018-05-06 10:40:03.883378: {'loss': 3.539179, 'avg': 1.6300000000000001, 'accuracy': 0.2, 'spare': 0.37, 'var': -1, 'steps': 4900}
2018-05-06 10:40:04.314286: {'loss': 3.3535724, 'avg': 1.57, 'accuracy': 0.21, 'spare': 0.39, 'var': -1, 'steps': 5000}
2018-05-06 10:40:04.746346: {'loss': 3.121785, 'avg': 1.57, 'accuracy': 0.24, 'spare': 0.4, 'var': -1, 'steps': 5100}
